date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,CARYSIL,899,-66.67,-75.45,67.63,69.68,72.27,70.88,80.81,97.34,833.86
22nd Aug,AJMERA,895.15,-66.67,-87.07,27.59,-0.507,-22.24,28.82,40.35,26.68,852.71
22nd Aug,GANESHHOUC,895,-66.67,-81.86,65.89,-22.06,-71.26,-102.92,-123.71,-99.10,918.97
22nd Aug,BAJFINANCE,894.50,66.67,21.55,67.39,-15.25,-51.65,-52.90,-12.48,24.99,857.08
22nd Aug,RML,891,66.67,86.77,119.50,94.28,11.09,48.75,64.03,78.01,841.58
22nd Aug,WELCORP,889.60,66.67,76.31,115.90,-21.93,-70.10,26.00,41.82,57.33,861.70
22nd Aug,LICI,889.10,-66.67,-59.02,-73.69,-66.65,-106.26,-3.70,28.32,41.33,916.75
22nd Aug,COHANCE,886,-66.67,-121.40,-104.00,-125.80,-196.21,-163.27,-168.88,-180.01,953.64
22nd Aug,ASAHIINDIA,882.85,66.67,133.33,85.13,175.06,108.38,128.72,135.44,147.86,825.79
22nd Aug,CCL,882.55,-66.67,-112.83,14.22,37.82,57.78,68.24,73.54,87.34,854.49
22nd Aug,NATCOPHARM,882.45,-66.67,-76.58,-60.78,-97.92,-64.85,-26.34,7.08,-26.71,937.95
22nd Aug,ABSLAMC,882.20,-66.67,-57.32,72.43,110.60,94.53,105.02,114.53,132.98,842.74
22nd Aug,ROUTE,880.30,-66.67,-120.41,7.00,-59.43,-99.15,-132.13,-153.24,-114.44,865.59
22nd Aug,LAURUSLABS,879.10,66.67,94.56,79.56,99.64,93.89,114.67,141.19,167.69,838.15
22nd Aug,DENORA,876,66.67,75.37,142.28,-13.49,-17.39,29.25,55.42,30.32,894.27
22nd Aug,OSWALPUMPS,873.80,66.67,74.04,115.70,191.48,NaN,NaN,NaN,NaN,800.92
22nd Aug,SUYOG,870,66.67,118.96,69.83,42.75,-1.88,-20.64,-39.31,-51.43,816.81
22nd Aug,SUBROS,869.85,66.67,86.51,85.23,12.65,-8.37,42.00,62.47,78.11,874.42
22nd Aug,NEWGEN,866.45,-66.67,-122.05,-62.33,-49.32,-86.22,-108.56,-98.70,-104.89,848.93
22nd Aug,IMFA,865.75,66.67,106.54,96.65,207.07,214.92,163.88,176.41,163.64,809.17
22nd Aug,RVTH,865.55,-66.67,-133.33,-92.79,-86.44,-112.61,-75.06,-88.89,-60.49,955.55
22nd Aug,STAR,865.50,-66.67,-123.68,30.41,-15.95,9.73,53.39,69.87,86.29,824.53
22nd Aug,NAM-INDIA,864.85,66.67,76.21,102.99,133.59,164.66,127.26,112.30,123.72,822.74
22nd Aug,AARTIPHARM,863.25,-66.67,66.28,71.34,-37.10,-58.48,6.17,31.53,49.55,783.17
22nd Aug,KSL,862.20,-66.67,-40.57,-93.17,-106.06,-32.98,20.43,42.31,36.22,923.16
22nd Aug,SCHNEIDER,860.50,66.67,126.14,-34.95,-72.71,13.61,55.78,73.84,90.45,939.09
22nd Aug,SHILPAMED,859,-66.67,-102.75,-53.57,-76.40,-93.44,19.15,41.20,52.93,834.71
22nd Aug,TITAGARH,858.85,66.67,97.75,166.45,-14.13,-53.33,-6.26,21.43,8.16,807.11
22nd Aug,AVALON,854.10,66.67,-21.21,-59.51,-38.40,-3.20,-11.77,37.83,51.10,916.12
