date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,HATSUN,899,-66.67,-76.73,16.95,-48.00,-96.57,-64.78,-58.17,-73.97,935.95
25th Aug,COHANCE,898.25,66.67,79.92,-42.94,-95.88,-155.61,-141.61,-148.66,-158.87,953.64
25th Aug,RPSGVENT,896.10,-66.67,-133.33,12.65,-44.93,-57.79,4.38,32.56,22.73,953.96
25th Aug,LICI,894.05,66.67,-62.21,-63.43,-61.33,-101.02,-4.80,27.87,41.28,916.75
25th Aug,GANESHHOUC,893,-66.67,-120.46,46.53,-22.79,-71.57,-103.03,-124.09,-99.87,918.97
25th Aug,RIIL,892.10,-66.67,-90.08,41.35,3.15,-55.64,-28.97,11.05,1.52,863.48
25th Aug,WELCORP,887.10,-66.67,46.84,93.51,-20.88,-69.00,24.68,40.57,56.09,861.70
25th Aug,CCL,885,-66.67,-77.55,-4.80,27.58,47.04,64.40,70.70,84.23,854.49
25th Aug,ASAHIINDIA,880,66.67,119.78,86.23,179.63,114.54,133.16,138.83,151.21,832.29
25th Aug,RML,879.20,-66.67,28.25,82.35,76.92,-1.49,39.98,58.81,72.51,841.58
25th Aug,ROUTE,875,-66.67,-88.50,-44.07,-69.71,-103.87,-139.14,-162.38,-121.65,865.59
25th Aug,NATCOPHARM,874.85,-66.67,-127.02,-93.22,-96.63,-70.73,-33.53,0.947,-28.61,933.85
25th Aug,ABSLAMC,874.55,-66.67,-113.51,36.31,71.67,83.34,97.65,108.14,126.35,842.74
25th Aug,LAURUSLABS,873.20,-66.67,-133.33,53.35,78.86,87.46,107.70,133.40,159.21,838.15
25th Aug,SUBROS,871.85,66.67,133.33,91.08,47.16,2.12,47.81,67.11,82.78,874.42
25th Aug,ASTEC,868.10,66.67,75.52,178.40,32.75,36.16,67.99,88.25,58.36,796.07
25th Aug,GANDHITUBE,864,66.67,133.33,286.69,388.79,371.88,336.71,321.42,311.23,793.57
25th Aug,AVALON,862.30,66.67,133.33,14.20,14.38,52.20,43.02,60.42,65.95,916.12
