date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,MRF,147505,-66.67,13.56,86.39,20.59,64.55,86.37,76.68,84.54,141846.52
22nd Aug,PAGEIND,45580,-66.67,18.14,89.65,-40.36,-57.53,-51.00,13.08,21.24,46003.31
22nd Aug,BOSCHLTD,39345,-66.67,-104.60,36.15,48.45,78.37,104.79,130.71,153.72,40568.02
22nd Aug,HONAUT,38050,-66.67,-8.16,77.01,-27.30,-47.60,9.24,36.33,29.38,36336.19
22nd Aug,ABBOTINDIA,31875,-66.67,-133.33,-244.57,-140.66,-52.98,-4.00,17.92,44.57,34071.20
22nd Aug,3MINDIA,30655,-66.67,-133.33,-52.30,-4.18,62.51,82.70,93.65,101.62,30344.59
22nd Aug,SHREECEM,30005,-66.67,-121.59,-115.55,-116.14,-21.90,-24.73,8.44,34.85,31590.42
22nd Aug,FORCEMOT,20214,-66.67,-45.43,65.05,146.03,141.23,146.47,155.52,166.82,19422.92
22nd Aug,POWERINDIA,19875,-66.67,20.44,-64.71,2.65,45.21,64.96,75.74,88.50,19389.64
22nd Aug,JSWHL,17990,-66.67,-126.23,10.66,-77.50,-141.61,-169.85,-141.97,-73.82,19020.95
22nd Aug,DIXON,16893,66.67,14.79,73.67,78.32,99.12,99.42,106.23,117.16,16150.52
22nd Aug,MAHSCOOTER,15586,-66.67,-92.70,20.76,81.99,126.47,103.97,98.12,107.66,15043.04
22nd Aug,LMW,15133,-66.67,-43.09,53.57,-42.74,-89.90,-112.01,-77.54,-60.34,15683.26
22nd Aug,SOLARINDS,14845,66.67,73.84,15.99,4.00,-65.56,-15.89,28.98,47.13,14297.07
22nd Aug,ZFCVINDIA,14570,-66.67,26.02,90.22,183.88,268.99,274.35,183.75,141.03,13655.08
22nd Aug,MARUTI,14349,66.67,90.55,77.90,214.84,378.99,409.52,309.10,316.17,13746.24
22nd Aug,NEULANDLAB,13888,66.67,69.92,125.02,33.33,82.09,107.12,124.87,95.52,13907.56
22nd Aug,PTCIL,13764,66.67,133.33,-7.54,-95.07,-138.62,-57.18,-6.48,-2.85,14376.53
22nd Aug,BAJAJHLDNG,13545,-66.67,-61.19,-119.12,-189.26,-102.24,14.16,39.23,54.78,14534.51
22nd Aug,PGHH,13303,-66.67,-43.40,28.83,18.78,-9.77,-51.90,-58.44,-69.82,13696.72
22nd Aug,ULTRACEMCO,12589,-66.67,-130.21,32.44,101.92,87.23,114.92,122.69,141.18,12430.46
22nd Aug,TVSHLTD,12064,-66.67,-119.44,49.06,56.40,98.62,97.33,90.63,105.08,11332.09
22nd Aug,GODFRYPHLP,10566,-66.67,21.78,88.86,141.60,187.78,226.71,167.26,141.55,9811.79
22nd Aug,BHARATRAS,10497,-66.67,-127.16,-121.18,-135.28,-0.228,27.47,31.44,41.17,11486.03
22nd Aug,GILLETTE,10395,-66.67,-96.47,-9.04,-85.21,-21.43,42.17,60.80,74.81,11031.36
22nd Aug,WENDT,10100,-66.67,-11.76,73.61,-14.71,53.54,50.87,60.03,4.95,10523.64
22nd Aug,TASTYBITE,9732,-66.67,-75.72,-87.47,-161.23,-189.98,-64.72,-8.61,-5.41,10583.52
22nd Aug,BAJAJ-AUTO,8679.50,-66.67,-117.84,55.14,152.65,116.97,94.25,102.47,78.79,8468.98
22nd Aug,OFSS,8624,-66.67,-18.22,59.73,12.36,-47.33,-16.62,29.26,6.06,8782.37
22nd Aug,ASTRAZEN,8432,-66.67,-87.16,-69.20,-131.32,-128.38,-65.61,-25.65,6.68,8890.43
22nd Aug,VOLTAMP,8221.50,-66.67,1.76,83.91,-65.53,-98.19,-48.47,2.37,14.26,8519.70
22nd Aug,APARINDS,8194.50,-66.67,-104.78,-127.29,-172.86,-54.39,27.37,46.96,45.67,8828.64
22nd Aug,MCX,7960,-66.67,-76.58,-50.09,-23.32,-9.70,41.78,63.09,79.89,7834.35
22nd Aug,APOLLOHOSP,7930,66.67,78.90,67.68,169.97,181.81,215.18,195.17,206.56,7620.73
22nd Aug,AMBER,7260.50,-66.67,-133.33,33.13,-52.19,24.78,56.81,72.85,86.12,7512.77
22nd Aug,POLYCAB,7116,66.67,-18.68,66.24,142.95,100.54,111.42,122.15,137.37,6855.16
22nd Aug,NUVAMA,6980.50,66.67,74.12,116.17,-51.66,-79.85,-4.28,29.88,46.03,7274.01
22nd Aug,TATAINVEST,6915.50,-66.67,-52.01,28.42,54.18,68.71,80.70,95.73,108.15,6867.13
22nd Aug,JKCEMENT,6841,-66.67,-127.72,-71.13,44.84,95.27,108.27,119.48,137.51,7534.81
22nd Aug,CRAFTSMAN,6823,-66.67,-98.93,-4.35,83.27,106.75,131.15,148.67,157.18,6525.63
22nd Aug,NSIL,6789,-66.67,-127.27,13.76,-42.51,-62.90,-57.75,10.84,26.60,6972.23
22nd Aug,PGHL,6581.50,66.67,133.33,306.59,138.60,218.03,163.58,169.34,195.18,6096.72
22nd Aug,DYNAMATECH,6533,-66.67,-105.55,-86.73,-68.38,-112.56,-77.55,-35.18,-41.50,6905.92
22nd Aug,CERA,6528.50,66.67,-26.72,68.06,-23.51,-59.41,13.29,38.45,34.22,6590.87
22nd Aug,ATUL,6497.50,66.67,111.88,3.82,-68.77,-103.66,-83.62,-13.39,-1.75,6661.84
22nd Aug,FOSECOIND,6469,66.67,111.62,174.87,318.73,394.15,273.39,210.70,225.33,5352.26
22nd Aug,LINDEINDIA,6311.50,-66.67,-111.69,1.36,-94.30,-102.63,-83.85,-48.95,-24.96,6523.98
22nd Aug,ICRA,6255,-66.67,-133.33,64.44,-54.45,-111.27,-23.25,16.26,21.58,6468.26
22nd Aug,KAYNES,6209,66.67,-60.82,44.96,70.60,85.12,89.80,77.99,76.87,6299.28
22nd Aug,DIVISLAB,6151.50,66.67,88.60,84.26,-66.60,-133.16,-68.77,-15.39,-2.84,6291.09
22nd Aug,INDIGO,6086.50,66.67,35.45,69.46,158.15,125.10,137.27,131.19,118.17,5854.85
22nd Aug,EICHERMOT,5924.50,-66.67,-62.40,65.92,159.79,173.31,193.51,177.10,170.06,5746.41
22nd Aug,HDFCAMC,5828,66.67,110.35,131.12,153.81,127.90,141.71,131.91,138.82,5602.30
22nd Aug,BLUEDART,5802,-66.67,-133.33,-119.26,-68.74,-117.23,-146.38,-108.37,-120.97,6060.69
22nd Aug,PFIZER,5668.50,-66.67,-8.24,67.39,146.64,47.77,68.29,79.61,94.80,5358.34
22nd Aug,TATAELXSI,5579.50,-66.67,-133.33,-181.24,-123.13,-177.10,-113.51,-46.42,-61.18,5858.87
22nd Aug,BRITANNIA,5568,-66.67,6.60,80.89,-19.25,-35.72,1.18,43.84,55.79,5352.17
22nd Aug,BAYERCROP,5515,-66.67,-54.20,-119.15,-104.99,-73.04,-9.49,15.66,29.77,5872.05
22nd Aug,ESABINDIA,5427,-66.67,42.06,108.93,35.84,85.88,101.13,98.07,110.93,5131.42
22nd Aug,ALKEM,5426,66.67,97.61,66.13,163.35,237.23,189.93,207.52,198.79,5216.55
22nd Aug,TRENT,5418,-66.67,-104.24,2.04,66.26,-30.86,-14.65,12.38,5.62,5273.57
22nd Aug,PERSISTENT,5369,66.67,98.58,137.02,18.11,-51.51,-41.87,-16.48,-35.44,5409.97
22nd Aug,VSTTILLERS,5315.50,66.67,133.33,68.80,145.04,154.90,188.69,223.39,204.10,4936.45
22nd Aug,CRISIL,5313,-66.67,-126.54,38.36,-39.23,-58.13,0.011,33.55,34.79,5463.42
22nd Aug,SUNDARMFIN,5268.40,66.67,85.37,120.52,103.87,110.06,93.09,95.12,104.70,4899.68
22nd Aug,SANOFI,5225,-66.67,60.02,103.09,-67.70,-134.28,-178.22,-148.02,-103.00,5315.14
22nd Aug,LTIM,5224.50,66.67,80.02,126.92,97.25,1.93,49.11,61.71,25.76,5239.21
22nd Aug,SANOFICONR,5157.80,-66.67,-133.33,9.48,52.82,27.07,58.49,78.40,91.90,4859.70
22nd Aug,ABB,5063,-66.67,-16.91,49.81,-68.43,-123.33,-141.69,-107.32,-108.75,5268.66
22nd Aug,PILANIINVS,5033,-66.67,-133.33,29.16,-49.83,-60.60,16.67,45.98,55.88,4856.65
22nd Aug,NAVINFLUOR,5030,66.67,-32.84,45.28,-4.19,56.19,79.53,96.44,110.93,5143.97
22nd Aug,HEROMOTOCO,4997.90,-66.67,-117.26,54.99,147.60,250.70,254.12,185.90,211.41,4867.25
22nd Aug,ORISSAMINE,4938.50,-66.67,-54.61,52.52,31.24,26.02,-19.24,-27.36,-49.57,4787.25
22nd Aug,VADILALIND,4936.50,-66.67,42.42,56.10,-77.97,-133.79,-94.09,-66.71,-14.51,5175.65
22nd Aug,KICL,4791,-66.67,-4.43,6.84,-49.04,-98.86,-31.74,19.18,21.34,4918.20
22nd Aug,FINEORG,4776.50,-66.67,-133.33,-189.26,-116.50,-61.45,2.21,34.54,47.23,5074.84
22nd Aug,DMART,4698.80,-66.67,15.36,80.14,184.19,237.72,240.11,218.71,197.34,4499.33
22nd Aug,SUPREMEIND,4637.80,66.67,127.97,94.35,228.84,188.38,113.92,111.58,129.97,4360.64
22nd Aug,BASF,4578,-66.67,45.99,34.34,-75.62,-141.51,-70.74,-43.25,-31.98,4800.02
22nd Aug,SMLISUZU,4538.50,66.67,95.70,150.02,163.45,135.51,162.08,194.53,228.57,4110.12
22nd Aug,KINGFA,4509.10,66.67,57.27,93.66,233.90,312.83,347.38,323.76,352.71,4094.97
22nd Aug,SKFINDIA,4506.20,66.67,-53.18,35.59,-89.13,-110.80,-10.88,23.77,37.09,4666.53
22nd Aug,HAL,4473,66.67,18.81,4.13,-59.20,-100.21,-70.49,-1.17,20.81,4625.34
22nd Aug,LTTS,4276,-66.67,64.76,151.23,3.10,-50.56,-42.82,-54.07,-60.92,4317.96
22nd Aug,NDGL,4147,66.67,31.88,39.45,19.08,-54.83,-55.90,8.80,30.32,4361.73
22nd Aug,SWARAJENG,4135,-66.67,52.42,87.68,-16.72,13.50,18.52,51.36,57.43,4192.29
22nd Aug,BEML,4033.80,-66.67,-86.91,18.72,-38.52,-85.14,6.48,36.34,48.70,4131.50
22nd Aug,SCHAEFFLER,3958.10,-66.67,-11.69,70.20,-69.92,-67.25,5.57,34.95,50.62,4124.28
22nd Aug,KEI,3954.80,66.67,29.52,90.04,100.96,128.34,96.29,97.44,82.74,3784.36
22nd Aug,CUMMINSIND,3916,66.67,91.57,209.25,162.34,181.14,152.15,159.10,175.70,3737.12
