date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,PAGEIND,46850,47310,45485,2.62,1225.54,50590,43365,48.03,65.58,28088,2.33,43956.25,45176.88,45655,46003.31,44893.64,45485,7.39,0.000,50590,38850
25th Aug,BOSCHLTD,39085,39535,38950,-0.610,801.95,41290,31405,-18.06,47.32,33832,2.26,40568.02,40085.59,39325,40568.02,39137.45,39325,5.34,0.001,41290,25921.60
25th Aug,SHREECEM,30015,30380,29940,0.033,679.39,32490,28355,-157.30,34.51,36110,1.56,31513.00,30836.50,30005,31590.42,31057.78,30150,7.62,0.001,32490,23500
25th Aug,DIXON,17018,17287,16851,0.740,391.00,17287,13280,97.81,66.06,457362,1.50,16278.68,16673.84,16893,16150.52,16560.26,16950,11.13,0.002,19148.90,12022
25th Aug,SOLARINDS,14654,14940,14640,-1.29,419.26,17820,13631,27.55,46.91,58873,0.418,14297.07,14983.61,14845,14297.07,14983.61,14932,17.77,0.003,17820,8482.50
25th Aug,MARUTI,14452,14478,14280,0.718,272.91,14478,12225,127.84,92.46,357110,0.778,13841.02,14110.01,14349,13746.24,14023.12,14401,0.180,0.002,14478,10725
25th Aug,ULTRACEMCO,12606,12731,12556,0.135,217.93,12930,11197,67.26,52.63,199190,0.878,12430.46,12857.73,12589,12430.46,12932.09,12648,2.51,0.002,12930,10047.85
25th Aug,OFSS,8750.50,8932,8670.50,1.47,196.54,9775,8319.50,167.00,61.77,203911,5.87,8782.37,8606.67,8624,8782.37,8583.19,8670.50,33.81,0.002,13220,7038
25th Aug,BAJAJ-AUTO,8750,8764,8633.50,0.812,174.78,8872.50,7858.50,115.29,70.90,360880,0.976,8468.98,8643.49,8679.50,8468.98,8643.49,8750,31.50,0.002,12774,7089.35
25th Aug,MCX,8003,8079.50,7953.50,0.540,221.08,9115,7534.50,18.33,46.47,305301,0.649,7834.35,8238.76,7960,7834.35,8238.76,8000,12.20,0.006,9115,4408.15
25th Aug,APOLLOHOSP,7851,7950,7838.50,-0.902,141.87,7980,6912,92.77,68.62,402979,0.478,7620.73,7768.37,7922.50,7620.73,7768.37,7926,1.62,0.003,7980,6001
25th Aug,AMBER,7352.50,7388,7261,1.27,236.29,8173.50,6290.50,-32.67,51.43,198486,0.656,7512.77,7104.33,7260.50,7512.77,7104.33,7335.50,10.08,0.006,8177,4266.10
25th Aug,POLYCAB,7071.50,7155.50,7057.50,-0.408,134.65,7208,5787,98.83,59.35,116097,0.674,6855.16,7009.58,7100.50,6855.16,7009.58,7148.50,7.02,0.005,7605,4555
25th Aug,NUVAMA,6857.50,7018,6835.50,-1.76,234.00,8508.50,6670,-41.88,42.01,82154,0.927,7274.01,7023.88,6980.50,7274.01,7023.88,7011,19.40,0.004,8508.50,4735.45
25th Aug,DIVISLAB,6248.50,6314.50,6204,1.58,145.41,7071.50,5856.50,2.80,58.18,439686,0.645,6291.09,6112.20,6151.50,6291.09,5993.17,6255,11.64,0.003,7071.50,4955
25th Aug,KAYNES,6231.50,6297,6181.50,0.362,182.41,6515,5361,59.22,60.28,293844,1.05,6299.28,6053.98,6209,6299.28,6053.98,6224,20.33,0.006,7822,3825.15
25th Aug,INDIGO,6116,6149.50,6028.50,0.485,126.77,6232.50,5233,100.58,65.89,478854,0.803,5854.85,5987.80,6086.50,5854.85,5987.80,6149.50,1.87,0.006,6232.50,3780
25th Aug,EICHERMOT,5990.50,6009,5880,1.11,102.14,6024.50,5305,115.08,79.19,822948,3.01,5746.41,5844.83,5924.50,5746.41,5844.83,5945,0.564,0.004,6024.50,4508.75
25th Aug,HDFCAMC,5892,5927.50,5826.50,1.10,112.36,5927.50,4700,207.53,81.43,478985,0.807,5650.07,5763.54,5828,5602.30,5717.15,5840,0.599,0.007,5927.50,3563.05
