date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,CNXNIFTYJUNIOR,67711.35,67893.20,67604.85,0.254,648.51,69179.25,65378.60,88.23,58.48,0,NaN,66741.51,67441.22,67540.10,66741.51,67441.22,67834.10,13.10,0.000,77918,56192.45
25th Aug,CNXMIDCAP,57701.50,57955.35,57667.35,0.124,589.30,59955.50,55792.85,80.47,58.40,0,NaN,56578.35,57254.39,57629.75,56565.81,57254.39,57847.45,5.29,0.000,60925.95,46865.70
25th Aug,NIFTYFMCG,55681.65,55894.05,55541,-0.100,678.49,57032.90,54066.05,30.76,50.62,0,NaN,55047.34,56392.01,55737.45,55047.34,56771.90,55879.40,16.19,0.000,66438.70,50199.35
25th Aug,BANKNIFTY,55139.30,55306,55048.40,-0.018,457.76,57628.40,54905.60,-93.46,36.68,0,NaN,56118.53,55647.86,55149.40,56222.78,55918.14,55147.75,4.32,0.000,57628.40,47702.90
25th Aug,NIFTYCONSURDURBL,39010.70,39214.50,38756.95,0.574,490.40,39376.60,36399.20,116.63,70.11,0,NaN,37985.72,38485.72,38787.95,37820.59,38330.39,38909.85,12.19,0.001,44426.55,32205.30
25th Aug,CNXIT,36280.10,36445.30,35795.50,2.37,599.31,39572.50,34224.55,199.01,71.68,0,NaN,34950.53,35535.46,35440.85,34573.89,35132.95,35795.50,21.28,0.000,46088.90,30918.95
25th Aug,CNXENERGY,34494.35,34611.75,34441.20,-0.038,308.55,36755.25,34114.35,-86.09,36.15,0,NaN,35172.99,34849.73,34507.60,35184.90,34500.53,34576.95,22.87,0.000,45022.15,29313.20
25th Aug,NIFTYFINSEREXBNK,29548.15,29663.70,29530.80,NaN,694.58,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,29643.15,NaN,NaN,NaN,NaN
25th Aug,NIFTYPVTBANK,26696.50,26778.25,26653.70,0.017,235.76,28577.65,26513.30,-80.56,38.50,0,NaN,27162.34,26959.00,26691.85,27162.34,27064.54,26740.60,6.58,0.000,28577.65,23508.05
25th Aug,NIFTYFINSERVICE,26306.90,26378.95,26260.95,-0.039,223.31,27369.80,26112.70,-64.57,41.22,0,NaN,26701.22,26549.10,26317.05,26701.22,26672.57,26321.35,3.88,0.001,27369.80,22320.85
25th Aug,NIFTY100,25589.70,25643.15,25522.30,0.369,192.85,26265.15,24908.05,90.74,58.67,0,NaN,25332.71,25772.30,25495.60,25332.71,25772.30,25581.80,6.39,0.001,27335.65,22177.35
25th Aug,NIFTYAUTO,25423.40,25469.70,25244.65,0.371,326.46,25562.50,23074.25,115.46,78.95,0,NaN,24720.44,25091.33,25329.45,24720.44,25091.33,25458.65,8.21,0.001,27696.10,19316.65
25th Aug,NIFTY,24967.75,25021.55,24894.35,0.393,189.74,25669.35,24337.50,91.27,58.41,0,NaN,24714.00,25151.47,24870.10,24714.00,25153.81,24949.15,4.98,0.001,26277.35,21743.65
25th Aug,NIFTY500,23052,23106.90,23022.10,0.264,177.35,23677.55,22406,83.79,58.72,0,NaN,22791.21,22985.03,22991.30,22791.21,22985.03,23069.30,6.19,0.001,24573.40,19519.85
25th Aug,CNXPHARMA,22362.80,22394.05,22259.60,0.439,266.00,23162.45,21324.05,35.43,63.41,0,NaN,21772.41,22049.62,22265,21651.98,21945.05,22361.60,6.46,0.001,23907.90,19121.10
25th Aug,NIFTYMSFINSERV,18359.95,18492.70,18340.85,NaN,429.56,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,18471.95,NaN,NaN,NaN,NaN
25th Aug,CNXSMALLCAP,17911.55,18021.35,17898.90,-0.044,181.54,19224.95,17331.55,43.34,54.44,0,NaN,17609.36,17819.56,17919.50,17609.36,17819.56,17976.40,9.15,0.001,19716.20,14084.30
25th Aug,NIFTYMIDCAP50,16332.70,16406.45,16322.95,0.159,177.14,16941.10,15717.05,89.25,60.54,0,NaN,15995.58,16180.14,16306.85,15970.63,16176.59,16364.35,4.30,0.001,17066.75,13269.65
25th Aug,NIFTYHEALTHCARE,14754.60,14819.90,14713.20,0.107,163.68,15079.85,13934.65,55.57,63.66,0,NaN,14425.40,14595.98,14738.80,14385.13,14562.80,14799.60,2.34,0.001,15108.80,12561.70
25th Aug,NIFTY200,13920.85,13953.55,13892.80,0.328,107.87,14305.75,13540.95,89.33,58.85,0,NaN,13764.93,14013.61,13875.40,13764.93,14013.61,13923.25,6.15,0.001,14833.75,11941.45
25th Aug,NIFTY50VALUE20,12703.25,12726.70,12620.65,1.07,111.60,13026.45,12232.60,124.21,66.57,0,NaN,12482.02,12729.41,12569,12482.02,12729.41,12627.30,13.77,0.001,14731.65,11375.50
25th Aug,NIFTYCONSUMPTION,12212.70,12244.05,12172.45,0.135,114.98,12313.60,11350.90,113.34,71.45,0,NaN,12031.30,12154.72,12196.30,12031.30,12154.72,12243.80,6.47,0.001,13057.60,10090.65
25th Aug,NIFTYGROWSECT15,11911.05,11922.85,11845.30,0.891,129.14,11922.85,11104.20,166.35,82.10,0,NaN,11623.91,11753.99,11805.90,11554.57,11686.11,11882.95,8.83,0.002,13065.05,9722.65
25th Aug,NIFTYOILANDGAS,11132,11155.05,11099.65,0.053,114.97,12099.55,10837.10,-12.85,47.20,0,NaN,11220.33,11116.19,11126.10,11220.33,11116.19,11150.85,18.19,0.002,13607.20,9327.50
25th Aug,NIFTYMSITTELCM,9720.15,9789.75,9670.30,NaN,271.12,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,9679.60,NaN,NaN,NaN,NaN
25th Aug,NIFTYMETAL,9436.75,9477,9396.70,0.654,130.35,9786.15,8997.35,87.49,56.02,0,NaN,9238.66,9375.00,9375.45,9238.66,9375.00,9419.90,8.58,0.002,10322.05,7690.20
25th Aug,CNXINFRA,9110.40,9143.85,9079.40,0.046,80.08,9494.55,8869.40,67.58,54.76,0,NaN,9019.74,9105.57,9106.25,9019.74,9105.57,9139.75,6.12,0.002,9704.20,7589.95
25th Aug,NIFTYCOMMODITIES,8797.65,8823,8775.60,0.414,83.57,9079.50,8526.15,49.14,51.90,0,NaN,8699.65,8884.49,8761.35,8699.65,8895.08,8788.90,11.10,0.002,9896.35,7502.95
25th Aug,NIFTYPSUBANK,6980.35,7042,6973.50,-0.254,85.17,7304.80,6709.10,27.33,42.87,0,NaN,6938.16,7096.97,6998.10,6938.16,7127.11,7011,4.44,0.003,8053.30,5530.35
25th Aug,NIFTYCPSE,6287.25,6309.80,6278.75,0.098,54.48,6681.80,6267.85,-131.08,29.93,0,NaN,6409.02,6351.65,6281.10,6416.75,6356.45,6294.10,15.49,0.003,7661.90,5284.25
25th Aug,NIFTYMEDIA,1626.25,1656.70,1617.90,-1.67,28.32,1786.15,1600.20,-49.79,38.73,0,NaN,1687.88,1664.30,1653.95,1687.88,1636.07,1655.75,25.48,0.011,2182.35,1344.40
25th Aug,CNXREALTY,916.45,923.65,912.25,0.748,16.48,1038.70,871.40,79.25,58.62,0,NaN,921.17,904.85,909.65,921.17,904.85,913.55,19.64,0.018,1157.35,765.80
